,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
49,49,2438.299614,2024-12-10 20:16:56.818199,2024-12-10 20:23:16.719218,0 days 00:06:19.901019,relu,32,0.2,1.1798727714548378e-05,0.95,0.999,0.00011092010384990256,0.7,20,1024,medium,0.5963926444458628,COMPLETE
50,50,1857.6426834000001,2024-12-10 20:23:16.720150,2024-12-10 20:29:42.549874,0 days 00:06:25.829724,relu,32,0.1,5.5442573440493104e-05,0.95,0.99,0.0004670977425509809,0.3,20,1024,medium,0.6762366028506999,COMPLETE
51,51,2463.4455266,2024-12-10 20:28:28.841800,2024-12-10 20:36:00.759174,0 days 00:07:31.917374,relu,32,0.2,2.2880952471862077e-05,0.95,0.995,0.00011068352829540018,0.9,20,1024,medium,0.46659172928015114,COMPLETE
52,52,398.9209226,2024-12-10 20:29:42.550815,2024-12-10 20:34:11.119495,0 days 00:04:28.568680,relu,32,0.2,1.0965822720777882e-05,0.99,0.999,5.52380241045786e-05,0.8,5,1024,medium,0.4412109986877247,PRUNED
53,53,423.63016960000004,2024-12-10 20:34:11.120435,2024-12-10 20:52:09.908714,0 days 00:17:58.788279,relu,8,0.2,2.2291027345422144e-05,0.92,0.9,0.0003344328549141627,1.0,20,256,small,0.9126808862231004,PRUNED
54,54,425.50616500000007,2024-12-10 20:36:00.760051,2024-12-10 20:40:12.370975,0 days 00:04:11.610924,relu,128,0.3,7.683414819266065e-05,0.95,0.995,0.0012128329377617275,0.9,20,1024,medium,0.40169648061994706,PRUNED
55,55,402.77389000000005,2024-12-10 20:40:12.374271,2024-12-10 20:46:29.100790,0 days 00:06:16.726519,relu,32,0.2,2.7850310792784804e-05,0.95,0.999,0.00010904996246553094,0.5,20,32,medium,0.54936639485591,PRUNED
56,56,1682.1619944,2024-12-10 20:46:29.101478,2024-12-10 20:55:39.989708,0 days 00:09:10.888230,relu,8,0.2,0.00012355302011308997,0.99,0.99,1.9758546208328915e-05,0.7,10,1024,medium,0.4049238927347816,COMPLETE
57,57,1361.3147996000002,2024-12-10 20:52:09.909311,2024-12-10 20:59:09.656912,0 days 00:06:59.747601,tanh,32,0.3,6.103317662134388e-08,0.92,0.98,1.9817127260003232e-05,2.0,20,256,small,0.3292143292901672,PRUNED
58,58,1433.6021192,2024-12-10 20:55:39.990789,2024-12-10 21:02:27.412065,0 days 00:06:47.421276,relu,32,0.2,1.1876613943157944e-05,1.0,0.995,1.8762532450261227e-05,0.7,20,1024,medium,0.5243909084876267,PRUNED
