,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
56,56,-25.5060776,2024-12-10 14:41:14.756962,2024-12-10 14:44:22.381553,0 days 00:03:07.624591,tanh,128,0.1,0.004083791457034454,0.8,0.995,0.00940454083127114,0.3,20,32,tiny,0.5475504376898396,PRUNED
57,57,-0.22351459999999998,2024-12-10 14:44:22.382445,2024-12-10 14:46:00.320744,0 days 00:01:37.938299,relu,512,0.3,7.960652566921427e-07,0.9,0.98,0.00048714795686724684,0.6,20,1024,tiny,0.7215227098134939,COMPLETE
58,58,-0.24764239999999998,2024-12-10 14:46:00.321705,2024-12-10 14:49:35.439502,0 days 00:03:35.117797,tanh,32,0.4,0.006907077681443478,0.8,0.999,0.00023127895073580548,0.7,20,1024,tiny,0.2425855913130463,COMPLETE
59,59,-10.115644,2024-12-10 14:48:03.050599,2024-12-10 14:54:11.360031,0 days 00:06:08.309432,tanh,64,0.4,0.025095625983008827,0.8,0.995,1.604008140475004e-05,1.0,20,32,tiny,0.09438911244027831,PRUNED
60,60,-0.43116319999999997,2024-12-10 14:49:35.447098,2024-12-10 14:52:22.049122,0 days 00:02:46.602024,tanh,512,0.2,7.158226625287743e-06,0.92,0.95,0.0003978194811586756,5.0,5,2048,tiny,0.5448455307538678,PRUNED
61,61,-8.249304599999999,2024-12-10 14:52:22.049989,2024-12-10 14:55:45.794661,0 days 00:03:23.744672,tanh,512,0.4,0.05842292422747802,0.8,0.995,0.0002512779676641345,0.8,5,128,small,0.39221523748479714,PRUNED
62,62,-0.136438,2024-12-10 14:54:11.362221,2024-12-10 14:57:39.586218,0 days 00:03:28.223997,tanh,512,0.2,5.905951706738092e-07,0.95,0.95,0.01473636146394394,1.0,20,2048,tiny,0.3569322835166919,COMPLETE
63,63,-2.776098,2024-12-10 14:55:45.795652,2024-12-10 15:00:08.480107,0 days 00:04:22.684455,tanh,128,0.1,0.006839182814198137,0.8,0.995,0.0012386802434757951,5.0,20,128,medium,0.24062125155852335,PRUNED
64,64,-8.2437316,2024-12-10 14:57:39.587491,2024-12-10 15:01:11.334259,0 days 00:03:31.746768,tanh,64,0.2,2.1437769312705935e-06,0.95,0.95,0.013149982082481847,1.0,5,64,tiny,0.2678604876807692,PRUNED
65,65,-0.2256632,2024-12-10 15:00:08.480990,2024-12-10 15:03:35.541069,0 days 00:03:27.060079,tanh,512,0.2,4.965628283395823e-08,0.95,0.9,0.008573030991993295,1.0,20,2048,tiny,0.34592386073883064,COMPLETE
66,66,-12.234732000000001,2024-12-10 15:01:11.335167,2024-12-10 15:04:59.130120,0 days 00:03:47.794953,tanh,512,0.2,1.0272403164443535e-06,0.95,0.999,0.07578896569208853,1.0,20,128,tiny,0.006525276727809448,PRUNED
67,67,-3.3996392,2024-12-10 15:03:35.542465,2024-12-10 15:13:42.509250,0 days 00:10:06.966785,tanh,128,0.2,0.0019421578486911587,0.8,0.9,0.0002609022950044669,0.9,20,16,tiny,0.8293811840634404,PRUNED
68,68,-0.21295340000000001,2024-12-10 15:04:59.131152,2024-12-10 15:07:43.867864,0 days 00:02:44.736712,relu,512,0.4,1.2253726128707524e-08,0.9,0.9999,0.000556076969225297,0.6,20,1024,tiny,0.31306723403163783,COMPLETE
69,69,-0.31706439999999997,2024-12-10 15:07:43.868930,2024-12-10 15:10:39.917496,0 days 00:02:56.048566,relu,512,0.4,1.2553744922498758e-08,0.92,0.98,5.455066501337031e-05,0.6,20,1024,medium,0.6775243394673721,PRUNED
70,70,-3.7059311999999998,2024-12-10 15:10:39.924985,2024-12-10 15:14:39.489980,0 days 00:03:59.564995,tanh,512,0.4,0.0001941837530461375,0.92,0.995,2.0699926685535453e-05,0.9,20,64,tiny,0.9162630225309826,PRUNED
71,71,-0.259523,2024-12-10 15:13:42.510192,2024-12-10 15:26:39.290659,0 days 00:12:56.780467,tanh,512,0.3,0.02749214694409036,0.8,0.95,3.2205911744074364e-05,5.0,20,8,tiny,0.20604949611478604,COMPLETE
72,72,-4.782071,2024-12-10 15:14:39.491854,2024-12-10 15:26:38.508971,0 days 00:11:59.017117,relu,512,0.4,7.87439407966485e-06,0.8,0.95,0.0008468423996585935,1.0,20,8,tiny,0.5897207420331778,PRUNED
73,73,-6.7476206,2024-12-10 15:26:38.510372,2024-12-10 15:30:13.729529,0 days 00:03:35.219157,relu,512,0.4,0.017275528951527678,0.8,0.995,0.0008720908644089182,0.7,1,128,tiny,0.0691310704957096,PRUNED
74,74,-0.2339752,2024-12-10 15:26:39.291818,2024-12-10 15:30:46.509626,0 days 00:04:07.217808,tanh,512,0.2,1.052709936796015e-05,0.98,0.95,0.0024898102075562316,5.0,20,2048,medium,0.3892373102518974,COMPLETE
75,75,-0.22159999999999996,2024-12-10 15:30:13.730749,2024-12-10 15:33:49.846115,0 days 00:03:36.115366,relu,512,0.4,4.1427540978906155e-08,0.9,0.98,0.0001908140606778565,1.0,20,128,tiny,0.7654366696788601,COMPLETE
76,76,-0.17256100000000002,2024-12-10 15:30:46.510947,2024-12-10 15:41:24.277771,0 days 00:10:37.766824,relu,512,0.4,0.026884872356956892,0.9,0.9,7.724694157675829e-05,0.9,20,16,tiny,0.8610707607571413,COMPLETE
77,77,-0.5366044,2024-12-10 15:33:49.847528,2024-12-10 15:36:45.349967,0 days 00:02:55.502439,relu,512,0.4,8.687603370492395e-06,0.98,0.98,0.00012481218010374696,0.5,20,2048,tiny,0.6774338682963892,PRUNED
78,78,-6.1393626,2024-12-10 15:36:45.351157,2024-12-10 15:39:44.396796,0 days 00:02:59.045639,relu,512,0.1,6.396378494844934e-05,0.8,0.995,6.505778013321589e-05,0.9,20,2048,tiny,0.4197084624096163,PRUNED
79,79,-13.751514600000002,2024-12-10 15:39:44.398005,2024-12-10 15:47:54.869076,0 days 00:08:10.471071,tanh,16,0.3,0.003124225049203598,0.8,0.995,0.0014483747896287173,1.0,20,128,tiny,0.607819492770448,PRUNED
80,80,-0.3589356,2024-12-10 15:41:24.279206,2024-12-10 15:44:02.731756,0 days 00:02:38.452550,tanh,512,0.4,6.695526812181298e-06,0.95,0.95,0.0016095391946276756,1.0,1,256,tiny,0.3068885714844404,PRUNED
81,81,-0.246394,2024-12-10 15:44:02.732954,2024-12-10 15:52:02.294787,0 days 00:07:59.561833,relu,64,0.4,0.01574063579060935,0.9,0.9,0.00025254306856286696,0.9,20,16,tiny,0.8018303309564523,COMPLETE
82,82,-0.262431,2024-12-10 15:47:54.870056,2024-12-10 15:52:53.929173,0 days 00:04:59.059117,relu,512,0.4,0.03693552956329034,0.9,0.9,6.308195911217916e-05,0.9,10,16,tiny,0.6805370136534167,PRUNED
83,83,-0.3625002,2024-12-10 15:52:02.296002,2024-12-10 16:01:20.906791,0 days 00:09:18.610789,relu,512,0.4,0.04604133024336964,0.99,0.9,9.495409829714534e-05,0.9,20,16,medium,0.8619139258712446,PRUNED
84,84,-40.828153799999995,2024-12-10 15:52:53.930052,2024-12-10 15:55:36.236246,0 days 00:02:42.306194,relu,512,0.2,2.507890349827222e-05,0.95,0.95,0.1257528137146996,2.0,20,2048,tiny,0.14714503241932983,PRUNED
85,85,-0.178336,2024-12-10 15:55:36.237229,2024-12-10 16:04:13.493332,0 days 00:08:37.256103,tanh,512,0.3,0.05004267716841238,1.0,0.9,2.871046448690525e-05,0.9,20,16,tiny,0.8960268982271589,COMPLETE
86,86,-7.628420200000001,2024-12-10 16:01:20.907635,2024-12-10 16:04:21.778450,0 days 00:03:00.870815,tanh,256,0.4,0.00047598061618390504,0.8,0.9,2.389820576627899e-05,0.9,5,128,tiny,0.9043532564464261,PRUNED
87,87,-0.3877176,2024-12-10 16:04:13.494515,2024-12-10 16:07:36.814725,0 days 00:03:23.320210,tanh,256,0.3,0.00026248586865406905,1.0,0.9,0.00012607981693356555,0.9,20,128,tiny,0.799077604963224,PRUNED
88,88,-0.2484452,2024-12-10 16:04:21.779340,2024-12-10 16:13:03.008237,0 days 00:08:41.228897,tanh,256,0.3,0.008113654462866495,1.0,0.9,1.2784107730795108e-05,0.7,20,16,tiny,0.9125867472483179,PRUNED
89,89,-0.5775226000000001,2024-12-10 16:07:36.815613,2024-12-10 16:15:13.410938,0 days 00:07:36.595325,tanh,512,0.3,0.030102920039495634,1.0,0.95,1.7255415262169137e-05,0.9,20,16,tiny,0.8729357306154988,PRUNED
90,90,-8.4144208,2024-12-10 16:13:03.009064,2024-12-10 16:21:41.983055,0 days 00:08:38.973991,relu,512,0.4,0.026211472994989868,0.98,0.9999,0.00015430388646630583,0.6,20,16,tiny,0.9026423586110098,PRUNED
91,91,-0.8135802,2024-12-10 16:15:13.411996,2024-12-10 16:18:02.502948,0 days 00:02:49.090952,tanh,512,0.2,0.0003244773539527688,0.95,0.98,0.00010356937968736659,5.0,20,2048,tiny,0.4300008179304923,PRUNED
92,92,-0.33443900000000004,2024-12-10 16:18:02.504022,2024-12-10 16:33:19.443280,0 days 00:15:16.939258,tanh,512,0.1,0.05818253911834087,1.0,0.9,1.8029757193122723e-05,1.0,20,8,tiny,0.675172610347874,PRUNED
93,93,-7.285049400000001,2024-12-10 16:21:41.983994,2024-12-10 16:24:19.555535,0 days 00:02:37.571541,tanh,512,0.4,0.0012127298899971594,0.8,0.9,2.8151220270869502e-05,0.9,20,1024,tiny,0.8416926237730132,PRUNED
94,94,-0.232526,2024-12-10 16:24:19.557073,2024-12-10 16:28:14.117088,0 days 00:03:54.560015,relu,16,0.4,1.2939715976238347e-05,0.9,0.98,0.0012768183511898126,5.0,5,2048,tiny,0.6742074886072119,COMPLETE
95,95,-0.19376100000000002,2024-12-10 16:28:14.120890,2024-12-10 16:31:07.365762,0 days 00:02:53.244872,relu,512,0.4,4.762221862021551e-06,0.9,0.98,0.0002467214003291913,5.0,20,2048,medium,0.9376074110365712,COMPLETE
96,96,-29.7634502,2024-12-10 16:31:07.366842,2024-12-10 16:36:08.109246,0 days 00:05:00.742404,tanh,512,0.4,0.0001951104992709024,0.8,0.999,0.00011034694505913696,0.9,10,16,tiny,0.8534183466979821,PRUNED
97,97,-8.158853400000002,2024-12-10 16:33:19.444325,2024-12-10 16:47:04.971356,0 days 00:13:45.527031,relu,8,0.4,4.4565844365823875e-08,0.9,0.98,0.0006024868968132694,5.0,20,64,medium,0.6599210462383807,PRUNED
98,98,-0.2585408,2024-12-10 16:36:08.110381,2024-12-10 16:38:53.653381,0 days 00:02:45.543000,relu,512,0.4,1.4263801051647693e-05,0.95,0.98,0.0013959541150725255,5.0,20,2048,medium,0.8713009899497912,PRUNED
99,99,-3.3640652,2024-12-10 16:38:53.657396,2024-12-10 16:44:13.803938,0 days 00:05:20.146542,tanh,512,0.3,0.09030404960771053,1.0,0.9,0.0016496454198053835,0.9,10,16,small,0.7152794367212941,PRUNED
